rank,algorithm,score,mean_ARI,mean_NMI,mean_Silhouette,mean_Davies_Bouldin,mean_Calinski_Harabasz
1,Custom (Mean Shift),0.7508804400814221,0.6435831125587629,0.8171495007324122,0.2230596351688333,0.7144267073458209,6.201287384159331
2,DBSCAN,0.6864197009342072,0.73280776705724,0.8343127767424516,0.31838608406358326,0.9300663639559813,5.210682721514583
3,Hierarchical,0.04701364248593452,0.5092022181781581,0.6687629449171151,0.19104781453099348,1.0941398413731378,5.3889682136663835
4,KMeans,0.03905522399834535,0.512623313434181,0.6591107534194652,0.19104781453099348,1.0941398413731378,5.3889682136663835
