Unnamed: 0,Przecietne miesieczne wynagrodzenie brutto,Udział terenow zielonych w powierzchni,Tereny zielone powierzchnia,Wydatki z budżetu miasta per capita,Pielegniarki i położne  na 10 tys. Ludnosci,Nowe budynki mieszkalne na 1 tys. ludnosci,Liczba lekarzy na 10 tys. mieszkancow,Stopa bezrobocia
Warszawa,7147.46,10.09,2563.73,11277,147.9,0.7,152.4,1.8
Katowice,6525.94,5.44,487.83000000000004,8342,241.0,1.2,199.4,1.7
Lublin,5412.39,9.62,821.0,7325,197.7,0.6,195.3,5.6
Rzeszow,5518.24,15.87,1713.2,8271,218.1,0.9,190.2,5.8
Krakow,6482.24,11.41,1494.74,8538,163.3,2.4,173.4,3.1
Kielce,5218.61,5.37,215.81,8011,191.0,1.0,150.4,5.8
Wrocław,6140.64,11.38,1613.6799999999998,8438,122.3,2.5,136.9,2.4
Bydgoszcz,5252.17,8.01,790.46,6987,156.6,0.6,136.4,3.6
Łodz,5510.99,13.59,1366.84,7604,130.9,1.1,128.0,6.0
Białystok,5126.79,10.11,366.74,7643,137.3,0.3,124.3,6.9
Poznan,6104.97,17.0,1396.77,8199,129.3,3.8,119.0,2.0
Szczecin,5695.84,12.34,524.25,8313,113.4,1.4,111.9,3.9
Gdansk,6490.53,8.74,644.5899999999999,8347,97.0,0.8,106.5,3.5
Torun,5331.63,10.81,293.21000000000004,7176,93.2,1.2,83.5,4.7
